id,createdAt,text,hashtags,urls,user_mentions,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount
1967802535378313608,Tue Sep 16 04:07:39 +0000 2025,"Alibaba's UI-S1 hits new SOTA in GUI Automation

Introduces Semi-online RL, a novel paradigm simulating online RL on offline trajectories for efficient training. UI-S1-7B achieves SOTA among 7B models on dynamic benchmarks, bridging the gap between offline efficiency and online multi-turn reasoning.",,,,6,1,21,0,1217,11
1966352984461173096,Fri Sep 12 04:07:39 +0000 2025,"New paper: SimpleVLA-RL is here on Hugging Face!

An efficient RL framework that scales VLA training, achieving state-of-the-art robotic manipulation with less data and superior generalization. https://t.co/YYBKg3LyI7",,,,6,1,24,1,2296,9
1968165412534620379,Wed Sep 17 04:09:35 +0000 2025,"Tencent introduces Single-stream Policy Optimization (SPO) for LLMs

Experience a new era of efficient reinforcement learning! SPO's group-free design delivers 4.35x throughput speedup & +3.4% maj@32 on math benchmarks, simplifying policy gradient optimization for robust LLM reasoning.",,,,3,1,18,0,1383,6
1968950187029614951,Fri Sep 19 08:08:00 +0000 2025,"Microsoft Research &amp; collaborators introduce FlowRL

This new LLM reinforcement learning framework uses *reward distribution matching* to prevent mode collapse, unlocking diverse, SOTA reasoning paths. It beats GRPO by 10% &amp; PPO by 5.1% on math &amp; code tasks. https://t.co/IRC8QYq7VW",,,,4,3,25,1,1355,4
1967077621323162080,Sun Sep 14 04:07:06 +0000 2025,"How do LLMs *really* learn to reason with reinforcement learning?

A new paper uncovers an emergent hierarchical reasoning, explaining puzzling phenomena like ""aha moments"" &amp; ""length-scaling"" by separating high-level planning from low-level execution. https://t.co/D1z5rKZwa7",,,,8,1,32,0,1839,14
1967238828403351869,Sun Sep 14 14:47:40 +0000 2025,"Top AI Papers on @huggingface (September 8 - 12):

- SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning
- Sharing is Caring: Efficient LM Post-Training with Collective RL Experience Sharing
- VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model
- Why Language Models Hallucinate
- Reverse-Engineered Reasoning for Open-Ended Generation
- Parallel-R1: Towards Parallel Thinking via Reinforcement Learning",,,huggingface,23,4,118,1,14072,57
1968346179894235444,Wed Sep 17 16:07:54 +0000 2025,"Alibaba's WebSailor-V2: SOTA open-source web agents arrive

A groundbreaking framework, powered by synthetic data and a dual-environment RL pipeline, achieves state-of-the-art results on BrowseComp & HLE. It outperforms existing open-source models and closes the gap to proprietary systems.",,,,11,3,64,1,10685,33
1971185558195142690,Thu Sep 25 12:10:34 +0000 2025,"IBM Research unveils GRPO for Speech-Aware LLMs

A new reinforcement learning method improves speech understanding tasks like Spoken Question Answering and Automatic Speech Translation, outperforming standard supervised fine-tuning. https://t.co/N1EgaEE7aP",,,,4,2,11,0,766,4
1971548693431021724,Fri Sep 26 12:13:32 +0000 2025,"Alibaba Cloud unveils VCRL: Variance-based Curriculum Reinforcement Learning

This novel framework dynamically adjusts LLM training difficulty for math reasoning, using group reward variance to pinpoint optimal learning samples.

It achieves state-of-the-art results efficiently, with no additional knowledge distillation.",,,,6,2,29,0,1239,10
1969796678585561360,Sun Sep 21 16:11:39 +0000 2025,"IGPO: Inpainting Guides Policy Optimization for Diffusion LLMs

A new RL framework for masked diffusion LLMs leverages inpainting to guide exploration and overcome sparse rewards. It strategically inserts partial ground-truth traces, achieving new state-of-the-art on math benchmarks.",,,,5,1,15,0,2,4
1972696021856915594,Mon Sep 29 16:12:37 +0000 2025,"Adobe &amp; Rutgers introduce EPO for LLM Agent RL

This Entropy-regularized Policy Optimization tackles the core challenge of 'exploration-exploitation cascade failure' in multi-turn, sparse-reward environments. It achieves up to 152% performance gains on ScienceWorld. https://t.co/ujspxrBXOg",,,,23,4,122,3,15978,79
1973238769475055775,Wed Oct 01 04:09:18 +0000 2025,"Meta just released TruthRL on Hugging Face

A new RL framework directly optimizes LLM truthfulness. Using a ternary reward, it slashes hallucinations by 28.9% and boosts truthfulness by 21.1%, teaching models to recognize their knowledge boundaries. https://t.co/5bmpzHmoWx",,,,6,1,14,0,985,7
1970643813065453901,Wed Sep 24 00:17:52 +0000 2025,"Alibaba's GeoPQA: MLLMs learn to see, then reason

MLLMs often fail geometry due to a ""perceptual bottleneck."" GeoPQA's 2-stage RL framework first boosts visual perception of geometric structures, then fosters reasoning. Improves problem-solving accuracy by 9.1%! https://t.co/zMdDxMGT4Y",,,,9,2,63,0,2450,20
1970702386835407055,Wed Sep 24 04:10:37 +0000 2025,"Tencent unveils RLPT: A new way to train LLMs smarter.

RLPT uses reinforcement learning directly on pre-training data, eliminating the need for costly human annotations. It's designed to overcome data scarcity and boost LLM reasoning, validated with Qwen3-4B-Base. https://t.co/cOapQrYNSk",,,,6,2,32,0,1404,12
1967319457648275924,Sun Sep 14 20:08:04 +0000 2025,"SEELE, from researchers at Baidu and Peking University, revolutionizes RL for LLMs. It improves exploration efficiency by dynamically adapting hint lengths.

Dive deeper: https://t.co/1jspMHSVVN",,https://huggingface.co/papers/2509.06923,,0,0,7,0,750,2
