id,createdAt,text,hashtags,urls,user_mentions,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,char_length,word_length
1966775878878449699,Sat Sep 13 08:08:05 +0000 2025,Alibaba &amp; collaborators just released FLUX-Reason-6M &amp; PRISM-Bench on Hugging Face: a colossal dataset &amp; benchmark to propel reasoning in text-to-image generation. https://t.co/FurudMrtdh,,,,21,1,108,0,4918,35,199,23
1969796242415747569,Sun Sep 21 16:09:55 +0000 2025,"Meta unveils IGPO for Diffusion LLMs

A new RL framework leveraging inpainting to guide exploration &amp; boost efficiency. Achieves new SoTA on math benchmarks like GSM8K, Math500, and AMC with reliable performance. https://t.co/b23XZmtU15",,,,5,1,9,0,832,3,240,33
1968972092445008183,Fri Sep 19 09:35:03 +0000 2025,"ByteDance just released Magic Bench on Hugging Face

A comprehensive evaluation dataset for text-to-image generation models with 377 prompts,
bilingual support, and 9 detailed annotation dimensions.

https://t.co/nY4RIpaklh",,https://huggingface.co/datasets/ByteDance-Seed/MagicBench,,4,1,28,1,1433,6,223,27
1970339765477109902,Tue Sep 23 04:09:41 +0000 2025,"ByteDance's OmniInsert for Mask-Free Video Editing

This novel Diffusion Transformer framework allows seamless insertion of subjects into videos, handling single or multiple references with unparalleled consistency and quality. It even beats commercial solutions! https://t.co/DRZgetVO8T",,,,2,1,11,0,843,4,287,34
1963635300351316416,Thu Sep 04 16:08:32 +0000 2025,"ByteDance introduces MOSAIC, a new framework for multi-subject personalized image generation.

It tackles identity blending and attribute leakage, maintaining high fidelity and coherence even with 4+ subjects. https://t.co/P2Bb9kdcoF",,,,1,2,7,0,504,3,233,28
1965447418440262056,Tue Sep 09 16:09:15 +0000 2025,"Princeton University &amp; Gen-Verse unveil TraceRL: a new RL framework for Diffusion LLMs, achieving state-of-the-art reasoning with unprecedented data efficiency! https://t.co/KLq1goCMZT",,,,15,1,95,0,11474,46,188,21
1969796678585561360,Sun Sep 21 16:11:39 +0000 2025,"IGPO: Inpainting Guides Policy Optimization for Diffusion LLMs

A new RL framework for masked diffusion LLMs leverages inpainting to guide exploration and overcome sparse rewards. It strategically inserts partial ground-truth traces, achieving new state-of-the-art on math benchmarks.",,,,5,1,15,0,1003,4,284,37
1965991124734193820,Thu Sep 11 04:09:45 +0000 2025,"China's ByteDance introduces RewardDance.

A scalable reward modeling framework for visual generation that tackles reward hacking and mode collapse.

It achieves state-of-the-art results in text-to-image, text-to-video, and image-to-video generation by aligning reward objectives with VLM architectures.",,,,3,1,10,0,1143,4,303,36
1970218832951119923,Mon Sep 22 20:09:09 +0000 2025,"LZN improves SOTA image generation (FID to 2.59 on CIFAR10), outperforms MoCo/SimCLR in representation learning, &amp; achieves SOTA classification!

NeurIPS 2025 paper: https://t.co/yVJ4lW0KrC
Models &amp; code: https://t.co/rshczZvR55",,"https://huggingface.co/papers/2509.15591, https://huggingface.co/microsoft/latent-zoning-networks",,0,0,14,0,1174,4,236,27
1963695521282879847,Thu Sep 04 20:07:50 +0000 2025,"Face-MoGLE just dropped! This Diffusion Transformer masters controllable face generation, offering incredible photorealism and precise semantic control via masks and text prompts. https://t.co/t1zxP734PI",,,,1,1,3,0,587,4,203,23
